               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12549,            0.020444,                   0,          0.00044444,             0.13333,           0.0005692,          0.00012154,             0.12179,            0.016042,                   0,                 0.1,                   0,                   0
                   1,             0.12549,            0.020521,                   0,          0.00055556,             0.16667,          0.00063512,          0.00012973,              0.1223,            0.015969,                   0,              0.0991,           9.967e-05,           9.967e-05
                   2,             0.12461,            0.020177,                   0,          0.00055556,             0.16667,          0.00061719,          0.00012682,             0.12227,             0.01583,                   0,            0.098199,          0.00019868,          0.00019868
                   3,             0.12428,            0.019615,                   0,          0.00055556,             0.16667,           0.0006195,          0.00010555,             0.12197,            0.015645,                   0,            0.097297,          0.00029703,          0.00029703
                   4,             0.12306,            0.019554,                   0,          0.00044444,             0.13333,          0.00038429,          9.7595e-05,             0.12132,            0.015481,                   0,            0.096395,          0.00039472,          0.00039472
                   5,             0.12382,            0.020053,                   0,          0.00055556,             0.16667,           0.0004408,            9.48e-05,             0.12066,            0.015273,                   0,            0.095492,          0.00049175,          0.00049175
                   6,             0.12096,            0.020545,                   0,          0.00055556,             0.16667,          0.00055383,           0.0001096,             0.11993,            0.015044,                   0,            0.094588,          0.00058812,          0.00058812
                   7,             0.11811,             0.01947,                   0,          0.00055556,             0.16667,           0.0005658,          0.00011043,             0.11927,            0.014736,                   0,            0.093684,          0.00068383,          0.00068383
                   8,             0.11848,            0.019601,                   0,          0.00044444,             0.13333,          0.00034295,           8.673e-05,             0.11861,            0.014434,                   0,            0.092779,          0.00077888,          0.00077888
                   9,             0.11639,            0.020451,                   0,          0.00044444,             0.13333,          0.00035489,          6.3194e-05,             0.11781,            0.014124,                   0,            0.091873,          0.00087327,          0.00087327
                  10,             0.11359,            0.018852,                   0,          0.00044444,             0.13333,          0.00029396,           4.562e-05,             0.11687,            0.013862,                   0,            0.090967,            0.000967,            0.000967
                  11,             0.11503,            0.017592,                   0,          0.00033333,                 0.1,          0.00028174,          4.4515e-05,             0.11618,            0.013623,                   0,             0.09006,           0.0010601,           0.0010601
                  12,             0.11178,            0.018001,                   0,          0.00033333,                 0.1,          0.00028955,           5.791e-05,             0.11543,            0.013359,                   0,            0.089152,           0.0011525,           0.0011525
                  13,             0.11365,             0.01782,                   0,          0.00055556,             0.16667,           0.0013604,           0.0001719,             0.11477,            0.013071,                   0,            0.088244,           0.0012442,           0.0012442
                  14,             0.11047,            0.018402,                   0,          0.00066667,                 0.2,           0.0017282,          0.00023162,             0.11412,             0.01281,                   0,            0.087335,           0.0013353,           0.0013353
                  15,             0.11267,            0.016331,                   0,          0.00066667,                 0.2,             0.00077,          0.00016201,             0.11315,            0.012646,                   0,            0.086426,           0.0014257,           0.0014257
                  16,             0.10676,            0.018192,                   0,          0.00077778,             0.23333,          0.00064701,          0.00018926,             0.11207,             0.01249,                   0,            0.085516,           0.0015155,           0.0015155
                  17,             0.11135,            0.016401,                   0,          0.00077778,             0.23333,          0.00070473,          0.00018481,             0.11126,            0.012419,                   0,            0.084605,           0.0016046,           0.0016046
                  18,             0.10625,            0.017007,                   0,          0.00088889,             0.26667,          0.00084018,          0.00022579,             0.11016,             0.01239,                   0,            0.083693,           0.0016931,           0.0016931
                  19,              0.1048,            0.016627,                   0,          0.00088889,             0.26667,          0.00082113,           0.0002247,             0.10916,            0.012288,                   0,            0.082781,           0.0017809,           0.0017809
                  20,             0.10561,              0.0168,                   0,          0.00088889,             0.26667,           0.0010506,          0.00025182,             0.10804,            0.012161,                   0,            0.081868,            0.001868,            0.001868
                  21,             0.10211,            0.017806,                   0,          0.00088889,             0.26667,          0.00079701,          0.00018246,             0.10757,            0.011946,                   0,            0.080954,           0.0019545,           0.0019545
                  22,             0.10234,            0.017428,                   0,          0.00088889,             0.26667,           0.0012511,          0.00023475,              0.1068,            0.011836,                   0,             0.08004,           0.0020403,           0.0020403
                  23,             0.10074,            0.016954,                   0,           0.0011111,             0.33333,           0.0012181,          0.00031258,             0.10635,            0.011731,                   0,            0.079125,           0.0021254,           0.0021254
                  24,            0.098624,            0.017773,                   0,           0.0012222,             0.36667,           0.0017715,          0.00045521,             0.10549,             0.01157,                   0,             0.07821,           0.0022099,           0.0022099
                  25,            0.097645,            0.017143,                   0,          0.00088889,             0.26667,           0.0013064,          0.00033577,             0.10422,            0.011421,                   0,            0.077294,           0.0022938,           0.0022938
                  26,            0.096008,            0.017239,                   0,               0.001,                 0.3,           0.0012322,          0.00036864,             0.10384,             0.01134,                   0,            0.076377,           0.0023769,           0.0023769
                  27,            0.097892,            0.016541,                   0,           0.0014444,             0.43333,            0.003826,           0.0010169,             0.10099,            0.011592,                   0,            0.075459,           0.0024594,           0.0024594
                  28,            0.092835,            0.016565,                   0,           0.0014444,             0.43333,           0.0043706,          0.00097659,             0.10043,            0.011511,                   0,            0.074541,           0.0025413,           0.0025413
                  29,            0.094858,            0.015924,                   0,           0.0015556,             0.46667,           0.0039066,          0.00092336,            0.099082,            0.011343,                   0,            0.073622,           0.0026225,           0.0026225
                  30,            0.088788,            0.017877,                   0,           0.0014444,             0.43333,            0.004239,           0.0012806,            0.097707,            0.011282,                   0,            0.072703,            0.002703,            0.002703
                  31,            0.087188,            0.018563,                   0,           0.0016667,                 0.5,           0.0083699,            0.002465,            0.096373,             0.01124,                   0,            0.071783,           0.0027829,           0.0027829
                  32,            0.087948,            0.017845,                   0,           0.0014444,             0.43333,            0.010521,           0.0024184,            0.095273,            0.011184,                   0,            0.070862,           0.0028621,           0.0028621
                  33,            0.083765,            0.018608,                   0,           0.0016667,                 0.5,             0.01728,           0.0027794,            0.096903,             0.01083,                   0,            0.069941,           0.0029406,           0.0029406
                  34,            0.082822,            0.017908,                   0,           0.0016667,                 0.5,            0.013135,           0.0037232,            0.096593,            0.010706,                   0,            0.069019,           0.0030185,           0.0030185
                  35,            0.080712,            0.016884,                   0,               0.002,                 0.6,           0.0073174,           0.0012802,            0.097276,            0.010613,                   0,            0.068096,           0.0030958,           0.0030958
                  36,            0.080189,            0.017504,                   0,           0.0018889,             0.56667,             0.02149,           0.0061896,            0.093777,            0.010835,                   0,            0.067172,           0.0031723,           0.0031723
                  37,            0.078335,            0.018274,                   0,           0.0021111,             0.63333,           0.0075332,           0.0016961,            0.096736,            0.010603,                   0,            0.066248,           0.0032482,           0.0032482
                  38,            0.078663,            0.019201,                   0,           0.0018889,             0.56667,            0.025204,           0.0069051,            0.089973,             0.01106,                   0,            0.065323,           0.0033235,           0.0033235
                  39,            0.075776,             0.01691,                   0,           0.0018889,             0.56667,            0.046345,            0.010465,            0.095646,            0.010525,                   0,            0.064398,           0.0033981,           0.0033981
                  40,            0.075717,            0.018716,                   0,           0.0017778,             0.53333,            0.019724,           0.0063147,            0.091179,            0.010818,                   0,            0.063472,            0.003472,            0.003472
                  41,            0.074267,            0.016888,                   0,           0.0017778,             0.53333,            0.019358,           0.0064801,            0.090911,             0.01085,                   0,            0.062545,           0.0035453,           0.0035453
                  42,            0.073705,            0.017537,                   0,           0.0023333,                 0.7,            0.048958,            0.007081,            0.094966,            0.010544,                   0,            0.061618,           0.0036179,           0.0036179
                  43,            0.073247,             0.01791,                   0,           0.0021111,             0.63333,            0.023708,           0.0048437,            0.087974,            0.011187,                   0,             0.06069,           0.0036898,           0.0036898
                  44,            0.070117,            0.016259,                   0,           0.0024444,             0.73333,            0.052306,           0.0077872,            0.089445,            0.011008,                   0,            0.059761,           0.0037611,           0.0037611
                  45,            0.064784,            0.019536,                   0,           0.0021111,             0.63333,            0.033858,           0.0092347,             0.08833,            0.010806,                   0,            0.058832,           0.0038317,           0.0038317
                  46,            0.074417,            0.015691,                   0,           0.0028663,                 0.8,            0.053128,           0.0091992,            0.089837,            0.010964,                   0,            0.057902,           0.0039017,           0.0039017
                  47,            0.066663,            0.018371,                   0,           0.0025556,             0.76667,            0.048849,            0.013503,            0.084643,            0.011301,                   0,            0.056971,            0.003971,            0.003971
                  48,            0.062961,            0.018186,                   0,             0.01125,             0.63333,            0.079257,            0.020287,            0.090834,             0.01075,                   0,             0.05604,           0.0040397,           0.0040397
                  49,            0.065754,             0.01684,                   0,            0.020906,                 0.6,              0.1115,            0.026588,            0.084125,            0.011243,                   0,            0.055108,           0.0041077,           0.0041077
                  50,            0.061001,            0.018908,                   0,            0.025915,                 0.4,            0.081085,            0.026337,            0.091071,            0.010485,                   0,            0.054175,            0.004175,            0.004175
                  51,            0.067493,            0.016426,                   0,            0.084722,             0.36667,             0.12376,            0.024443,            0.083304,            0.011089,                   0,            0.053242,           0.0042417,           0.0042417
                  52,            0.060014,            0.016651,                   0,            0.091973,                 0.3,            0.084453,             0.01634,            0.089535,            0.010488,                   0,            0.052308,           0.0043077,           0.0043077
                  53,            0.064779,            0.017591,                   0,            0.088775,             0.27284,              0.1049,            0.024006,             0.08339,            0.011125,                   0,            0.051373,            0.004373,            0.004373
                  54,            0.060208,            0.016033,                   0,             0.13795,             0.23333,            0.097769,            0.029696,            0.090266,            0.010377,                   0,            0.050438,           0.0044377,           0.0044377
                  55,            0.061463,            0.017642,                   0,            0.060911,             0.36667,            0.066029,            0.022552,            0.083833,            0.011038,                   0,            0.049502,           0.0045017,           0.0045017
                  56,            0.060497,            0.018482,                   0,             0.17032,             0.30109,             0.13328,            0.045825,            0.087563,            0.010599,                   0,            0.048565,           0.0045651,           0.0045651
                  57,             0.05814,            0.017659,                   0,            0.062512,            0.066667,            0.037298,            0.018954,            0.084748,            0.011121,                   0,            0.047628,           0.0046278,           0.0046278
                  58,            0.061783,            0.014894,                   0,              0.2116,                 0.2,            0.095887,             0.03111,            0.082903,            0.011372,                   0,             0.04669,           0.0046899,           0.0046899
                  59,            0.054399,            0.018281,                   0,             0.11843,             0.16571,            0.043653,            0.015247,            0.085293,            0.011499,                   0,            0.045751,           0.0047513,           0.0047513
                  60,            0.060249,            0.016397,                   0,             0.24938,             0.26667,             0.11232,            0.033546,            0.081911,            0.011785,                   0,            0.044812,            0.004812,            0.004812
                  61,            0.053418,             0.01759,                   0,            0.066719,             0.13333,            0.036805,            0.013021,            0.083965,            0.011467,                   0,            0.043872,           0.0048721,           0.0048721
