               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12146,            0.028879,                   0,          0.00033333,                 0.1,          0.00022101,          4.1515e-05,             0.11899,            0.023617,                   0,              0.0991,              0.0001,              0.0001
                   1,             0.12024,            0.028687,                   0,          0.00033333,                 0.1,          0.00022599,          4.1988e-05,             0.11915,            0.023586,                   0,            0.097299,          0.00029901,          0.00029901
                   2,             0.12125,             0.02787,                   0,          0.00033333,                 0.1,          0.00022257,            4.07e-05,              0.1184,            0.023067,                   0,            0.095497,           0.0004967,           0.0004967
                   3,             0.12018,            0.027197,                   0,          0.00044444,             0.13333,          0.00031378,          4.3389e-05,             0.11671,              0.0224,                   0,            0.093693,          0.00069307,          0.00069307
                   4,              0.1159,            0.026483,                   0,          0.00044444,             0.13333,          0.00031214,          5.1107e-05,             0.11441,            0.021671,                   0,            0.091888,          0.00088812,          0.00088812
                   5,             0.11244,            0.025634,                   0,          0.00066667,                 0.2,          0.00049442,          0.00018204,             0.11209,            0.020927,                   0,            0.090082,           0.0010819,           0.0010819
                   6,             0.10849,            0.024653,                   0,          0.00077778,             0.23333,           0.0010523,          0.00020663,             0.11012,            0.020111,                   0,            0.088274,           0.0012743,           0.0012743
                   7,             0.10805,            0.023322,                   0,          0.00055556,             0.16667,           0.0005571,          0.00014803,             0.10876,            0.018944,                   0,            0.086465,           0.0014653,           0.0014653
                   8,             0.10743,            0.021712,                   0,          0.00044444,             0.13333,          0.00043183,          0.00015475,             0.10847,            0.017717,                   0,            0.084655,           0.0016551,           0.0016551
                   9,             0.10096,            0.021963,                   0,          0.00055556,             0.16667,          0.00044248,          0.00011178,             0.10807,            0.016737,                   0,            0.082844,           0.0018436,           0.0018436
                  10,             0.10234,            0.020229,                   0,          0.00088889,             0.26667,          0.00087387,          0.00017275,             0.10618,            0.015896,                   0,            0.081031,           0.0020307,           0.0020307
                  11,            0.099447,            0.019613,                   0,          0.00088889,             0.26667,           0.0014563,          0.00029954,             0.10516,            0.015192,                   0,            0.079217,           0.0022165,           0.0022165
                  12,            0.097582,            0.018929,                   0,          0.00077778,             0.23333,           0.0009753,          0.00023847,             0.10339,            0.014887,                   0,            0.077401,            0.002401,            0.002401
                  13,            0.097127,            0.018239,                   0,           0.0012222,             0.36667,           0.0015636,          0.00029015,             0.10204,            0.014477,                   0,            0.075584,           0.0025842,           0.0025842
                  14,            0.093713,            0.017726,                   0,           0.0011111,             0.33333,           0.0013465,          0.00026854,             0.10139,            0.013836,                   0,            0.073766,            0.002766,            0.002766
                  15,            0.092429,            0.017445,                   0,           0.0014444,             0.43333,           0.0019933,          0.00040846,            0.099482,            0.013847,                   0,            0.071947,           0.0029465,           0.0029465
                  16,            0.089283,            0.017347,                   0,           0.0011111,             0.33333,           0.0026453,          0.00081205,            0.098226,            0.013664,                   0,            0.070126,           0.0031258,           0.0031258
                  17,            0.087755,            0.016445,                   0,           0.0012222,             0.36667,           0.0097212,           0.0017753,            0.097954,            0.013073,                   0,            0.068304,           0.0033037,           0.0033037
                  18,            0.084552,            0.016954,                   0,           0.0014444,             0.43333,           0.0032023,          0.00077898,            0.097244,            0.012733,                   0,             0.06648,           0.0034802,           0.0034802
                  19,            0.085153,             0.01602,                   0,           0.0015556,             0.46667,           0.0045781,          0.00080179,            0.097983,            0.012352,                   0,            0.064655,           0.0036555,           0.0036555
                  20,            0.081429,            0.016013,                   0,           0.0018889,             0.56667,           0.0054471,           0.0011376,            0.095854,            0.012478,                   0,            0.062829,           0.0038294,           0.0038294
                  21,            0.081616,             0.01564,                   0,           0.0013333,                 0.4,            0.008549,           0.0013118,            0.095018,            0.012251,                   0,            0.061002,            0.004002,            0.004002
                  22,            0.076434,            0.015898,                   0,           0.0018889,             0.56667,            0.010382,            0.003212,            0.096154,            0.011879,                   0,            0.059173,           0.0041733,           0.0041733
                  23,            0.077134,            0.015483,                   0,               0.002,                 0.6,           0.0071429,           0.0019188,            0.094003,            0.012169,                   0,            0.057343,           0.0043433,           0.0043433
                  24,            0.071247,             0.01563,                   0,           0.0021111,             0.63333,            0.010078,           0.0020607,            0.090813,            0.012552,                   0,            0.055512,           0.0045119,           0.0045119
                  25,            0.070683,            0.015625,                   0,               0.002,                 0.6,           0.0096525,           0.0026409,            0.088474,            0.012886,                   0,            0.053679,           0.0046793,           0.0046793
                  26,            0.068087,            0.015612,                   0,           0.0022222,             0.66667,            0.036643,           0.0079242,            0.091039,            0.012232,                   0,            0.051845,           0.0048453,           0.0048453
                  27,            0.067341,            0.015404,                   0,           0.0024444,             0.73333,            0.044106,            0.010843,            0.087606,            0.012699,                   0,             0.05001,             0.00501,             0.00501
                  28,            0.065381,            0.015676,                   0,           0.0025556,             0.76667,            0.055357,            0.016075,            0.085777,            0.012953,                   0,            0.048173,           0.0051733,           0.0051733
                  29,            0.063458,            0.015493,                   0,           0.0025556,             0.76667,            0.052354,            0.015634,            0.084209,            0.013218,                   0,            0.046335,           0.0053354,           0.0053354
                  30,             0.06138,            0.015571,                   0,           0.0024444,             0.73333,            0.040623,           0.0083763,            0.083398,            0.013252,                   0,            0.044496,           0.0054961,           0.0054961
