               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12187,            0.028997,                   0,          0.00055556,             0.16667,          0.00035795,          8.3453e-05,             0.12022,            0.023119,                   0,              0.0991,              0.0001,              0.0001
                   1,              0.1223,            0.028888,                   0,          0.00055556,             0.16667,          0.00032734,          8.3754e-05,             0.12056,            0.023252,                   0,            0.097299,          0.00029901,          0.00029901
                   2,              0.1224,            0.028498,                   0,          0.00077778,             0.23333,          0.00051821,          9.9996e-05,              0.1207,            0.022844,                   0,            0.095497,           0.0004967,           0.0004967
                   3,             0.12145,            0.028243,                   0,          0.00088889,             0.26667,          0.00086215,          0.00017834,             0.11971,             0.02235,                   0,            0.093693,          0.00069307,          0.00069307
                   4,             0.11906,            0.027544,                   0,          0.00066667,                 0.2,          0.00071535,          0.00011686,             0.11883,            0.021749,                   0,            0.091888,          0.00088812,          0.00088812
                   5,             0.11798,            0.026738,                   0,          0.00055556,             0.16667,          0.00041952,          9.0741e-05,             0.11592,            0.020834,                   0,            0.090082,           0.0010819,           0.0010819
                   6,             0.11424,            0.025854,                   0,          0.00055556,             0.16667,          0.00035614,          8.8469e-05,             0.11395,            0.019754,                   0,            0.088274,           0.0012743,           0.0012743
                   7,              0.1108,            0.024679,                   0,          0.00044444,             0.13333,           0.0002666,          4.6784e-05,             0.11131,            0.019083,                   0,            0.086465,           0.0014653,           0.0014653
                   8,             0.10855,            0.023184,                   0,          0.00044444,             0.13333,              0.0003,          6.6748e-05,              0.1101,             0.01803,                   0,            0.084655,           0.0016551,           0.0016551
                   9,              0.1054,            0.022658,                   0,          0.00055556,             0.16667,          0.00041799,           0.0001092,             0.10861,            0.017267,                   0,            0.082844,           0.0018436,           0.0018436
                  10,             0.10352,            0.021422,                   0,          0.00033333,                 0.1,           0.0002018,          5.2294e-05,             0.10781,            0.016565,                   0,            0.081031,           0.0020307,           0.0020307
                  11,            0.099666,            0.020844,                   0,          0.00055556,             0.16667,          0.00033611,          0.00011979,             0.10693,            0.015793,                   0,            0.079217,           0.0022165,           0.0022165
                  12,            0.098204,            0.019914,                   0,          0.00044444,             0.13333,          0.00028161,           7.131e-05,             0.10528,            0.015316,                   0,            0.077401,            0.002401,            0.002401
                  13,            0.097015,            0.019128,                   0,               0.001,                 0.3,          0.00065725,          0.00010411,             0.10214,            0.015308,                   0,            0.075584,           0.0025842,           0.0025842
                  14,            0.094926,            0.018297,                   0,          0.00066667,                 0.2,          0.00040882,          8.7557e-05,             0.10101,            0.014759,                   0,            0.073766,            0.002766,            0.002766
                  15,            0.092293,            0.018279,                   0,          0.00077778,             0.23333,          0.00078929,          0.00013947,             0.10086,            0.013992,                   0,            0.071947,           0.0029465,           0.0029465
                  16,            0.090799,            0.017703,                   0,          0.00066667,                 0.2,           0.0018073,          0.00051047,            0.098996,             0.01384,                   0,            0.070126,           0.0031258,           0.0031258
                  17,            0.086701,            0.017085,                   0,               0.001,                 0.3,           0.0015712,          0.00045127,            0.097947,            0.013611,                   0,            0.068304,           0.0033037,           0.0033037
                  18,            0.083481,            0.017724,                   0,           0.0011111,             0.33333,           0.0012763,          0.00019979,            0.097826,            0.013317,                   0,             0.06648,           0.0034802,           0.0034802
                  19,            0.082996,             0.01694,                   0,          0.00088889,             0.26667,           0.0014546,           0.0003476,            0.095255,            0.013252,                   0,            0.064655,           0.0036555,           0.0036555
                  20,            0.079172,            0.016859,                   0,           0.0015556,             0.46667,           0.0026185,          0.00047641,            0.093518,            0.013271,                   0,            0.062829,           0.0038294,           0.0038294
                  21,            0.077765,            0.016726,                   0,           0.0016667,                 0.5,           0.0046572,           0.0011225,             0.09177,            0.013016,                   0,            0.061002,            0.004002,            0.004002
                  22,            0.075641,            0.016444,                   0,               0.002,                 0.6,             0.02039,           0.0040214,            0.093071,            0.012424,                   0,            0.059173,           0.0041733,           0.0041733
                  23,             0.07491,            0.016213,                   0,           0.0021111,             0.63333,            0.019242,           0.0060616,            0.093315,            0.012064,                   0,            0.057343,           0.0043433,           0.0043433
                  24,            0.068946,            0.016375,                   0,               0.002,                 0.6,           0.0080205,           0.0013163,            0.093958,            0.012045,                   0,            0.055512,           0.0045119,           0.0045119
                  25,            0.069087,            0.016205,                   0,           0.0022222,             0.66667,            0.016057,           0.0045583,            0.087428,            0.013493,                   0,            0.053679,           0.0046793,           0.0046793
                  26,             0.06611,              0.0162,                   0,           0.0017778,             0.53333,            0.037931,             0.01971,            0.090708,            0.014341,                   0,            0.051845,           0.0048453,           0.0048453
                  27,             0.06363,            0.016367,                   0,               0.002,                 0.6,            0.036589,            0.008736,            0.085487,            0.013342,                   0,             0.05001,             0.00501,             0.00501
                  28,            0.062478,            0.016423,                   0,            0.002223,             0.66667,             0.10174,             0.03396,            0.082656,            0.013485,                   0,            0.048173,           0.0051733,           0.0051733
                  29,            0.063133,            0.015871,                   0,           0.0023333,                 0.7,              0.1581,            0.052819,            0.080236,            0.013672,                   0,            0.046335,           0.0053354,           0.0053354
                  30,            0.058664,            0.016193,                   0,           0.0023333,                 0.7,             0.11832,            0.022041,            0.080584,            0.013313,                   0,            0.044496,           0.0054961,           0.0054961
                  31,            0.058756,            0.016245,                   0,           0.0026667,                 0.8,             0.12289,            0.042671,            0.078458,            0.013401,                   0,            0.042656,           0.0056555,           0.0056555
                  32,            0.057585,            0.015619,                   0,             0.19885,                 0.3,             0.14466,             0.05166,            0.077185,            0.013351,                   0,            0.040814,           0.0058136,           0.0058136
                  33,             0.05771,            0.015251,                   0,             0.20438,            0.033333,             0.11151,            0.033593,            0.075087,            0.013405,                   0,             0.03897,           0.0059704,           0.0059704
                  34,            0.058412,            0.015423,                   0,              0.3515,            0.066667,             0.10775,            0.040683,            0.073758,            0.013226,                   0,            0.037126,           0.0061258,           0.0061258
                  35,            0.055145,            0.015332,                   0,             0.16985,            0.033333,             0.13932,            0.043873,            0.074784,            0.013023,                   0,             0.03528,             0.00628,             0.00628
                  36,            0.055066,            0.015566,                   0,             0.52514,                 0.2,             0.17045,             0.03961,            0.074592,            0.013206,                   0,            0.033433,           0.0064328,           0.0064328
                  37,            0.052362,            0.015478,                   0,             0.38788,             0.16667,             0.15889,            0.049078,            0.077299,            0.013006,                   0,            0.031584,           0.0065842,           0.0065842
                  38,            0.052491,             0.01445,                   0,             0.52411,             0.23333,             0.27623,            0.092645,            0.075853,            0.013592,                   0,            0.029734,           0.0067344,           0.0067344
                  39,            0.054548,            0.013935,                   0,             0.31819,                 0.2,             0.19729,            0.039013,            0.080817,            0.013035,                   0,            0.027883,           0.0068833,           0.0068833
                  40,             0.05319,            0.014715,                   0,             0.27845,                 0.2,              0.1397,             0.04267,            0.080829,            0.012638,                   0,            0.026031,           0.0070308,           0.0070308
                  41,            0.051281,            0.014086,                   0,             0.16084,             0.23333,             0.08051,            0.021095,            0.077936,            0.013569,                   0,            0.024177,            0.007177,            0.007177
                  42,             0.05218,            0.013709,                   0,              0.2244,             0.23333,             0.12567,            0.033397,            0.078414,            0.012318,                   0,            0.022322,           0.0073219,           0.0073219
                  43,            0.053195,            0.013746,                   0,             0.30648,             0.26667,             0.19219,            0.062328,            0.074628,            0.012424,                   0,            0.020465,           0.0074655,           0.0074655
                  44,            0.049634,            0.014213,                   0,             0.20905,             0.23333,             0.17808,            0.051489,            0.070541,            0.012655,                   0,            0.018608,           0.0076077,           0.0076077
                  45,            0.047046,            0.014219,                   0,             0.15469,             0.23333,             0.10347,            0.035438,            0.077694,            0.011581,                   0,            0.016749,           0.0077486,           0.0077486
                  46,            0.049643,            0.013212,                   0,             0.31948,             0.26667,             0.15659,            0.053449,            0.073471,            0.012157,                   0,            0.014888,           0.0078883,           0.0078883
                  47,            0.046423,            0.013485,                   0,             0.26621,             0.33333,             0.13886,            0.039184,            0.076056,            0.012053,                   0,            0.013027,           0.0080266,           0.0080266
                  48,            0.045141,            0.012707,                   0,             0.20484,             0.26667,             0.11296,            0.036135,            0.075324,            0.011974,                   0,            0.011164,           0.0081635,           0.0081635
                  49,            0.048922,            0.011802,                   0,              0.2446,             0.23333,             0.14252,            0.040572,            0.072446,            0.012775,                   0,           0.0092992,           0.0082992,           0.0082992
                  50,            0.048585,            0.012415,                   0,             0.21014,             0.36667,             0.12422,            0.035613,            0.077716,            0.011673,                   0,             0.00835,             0.00835,             0.00835
                  51,             0.04897,            0.012383,                   0,             0.33742,             0.28887,             0.17361,            0.061374,            0.076944,            0.011307,                   0,             0.00835,             0.00835,             0.00835
                  52,            0.049107,            0.011222,                   0,             0.43506,                 0.3,             0.24802,            0.052256,            0.078432,            0.010889,                   0,            0.008317,            0.008317,            0.008317
                  53,            0.046936,            0.011652,                   0,             0.12849,              0.2213,             0.12898,            0.046165,            0.081217,            0.010672,                   0,            0.008284,            0.008284,            0.008284
                  54,            0.047335,            0.011247,                   0,             0.27179,             0.16667,             0.11867,            0.033231,            0.077704,            0.011881,                   0,            0.008251,            0.008251,            0.008251
                  55,            0.046484,            0.011654,                   0,             0.16576,             0.33333,             0.11827,            0.048568,            0.077203,            0.012072,                   0,            0.008218,            0.008218,            0.008218
                  56,            0.041688,            0.011666,                   0,             0.21865,                 0.3,             0.14164,            0.034091,            0.075156,            0.012018,                   0,            0.008185,            0.008185,            0.008185
                  57,            0.040212,            0.011208,                   0,             0.36292,             0.26667,             0.17516,            0.066293,             0.07725,            0.011257,                   0,            0.008152,            0.008152,            0.008152
                  58,            0.040404,             0.01094,                   0,             0.33389,             0.33333,             0.22234,            0.068978,            0.074734,            0.011311,                   0,            0.008119,            0.008119,            0.008119
                  59,            0.041817,             0.01072,                   0,             0.28172,             0.36607,             0.18267,            0.070196,            0.073777,            0.011578,                   0,            0.008086,            0.008086,            0.008086
                  60,              0.0403,            0.010451,                   0,             0.32261,             0.33333,             0.20138,            0.059457,            0.072711,            0.011414,                   0,            0.008053,            0.008053,            0.008053
