               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12075,            0.022526,                   0,          0.00045455,             0.13636,          0.00044036,          0.00010718,             0.12103,            0.016841,                   0,                 0.1,                   0,                   0
                   1,             0.12135,            0.022213,                   0,          0.00060606,             0.18182,          0.00089667,          0.00018172,             0.12146,            0.016675,                   0,              0.0991,           9.967e-05,           9.967e-05
                   2,             0.11966,            0.022314,                   0,          0.00060606,             0.18182,          0.00084338,          0.00017065,             0.12094,            0.016555,                   0,            0.098199,          0.00019868,          0.00019868
                   3,             0.11994,            0.022329,                   0,          0.00045455,             0.13636,          0.00073776,          0.00014115,             0.11995,            0.016458,                   0,            0.097297,          0.00029703,          0.00029703
                   4,             0.11817,            0.023411,                   0,          0.00045455,             0.13636,          0.00071192,          0.00013617,             0.11877,             0.01635,                   0,            0.096395,          0.00039472,          0.00039472
                   5,             0.11625,            0.021594,                   0,          0.00045455,             0.13636,          0.00070921,           0.0001351,             0.11712,            0.016335,                   0,            0.095492,          0.00049175,          0.00049175
                   6,             0.11532,            0.022017,                   0,          0.00060606,             0.18182,           0.0008324,          0.00016214,             0.11505,             0.01635,                   0,            0.094588,          0.00058812,          0.00058812
                   7,             0.11251,             0.02171,                   0,          0.00060606,             0.18182,          0.00092474,           0.0001902,             0.11298,            0.016426,                   0,            0.093684,          0.00068383,          0.00068383
                   8,              0.1125,            0.021547,                   0,          0.00090909,             0.27273,           0.0011981,          0.00027645,             0.11078,            0.016523,                   0,            0.092779,          0.00077888,          0.00077888
                   9,             0.11061,            0.022155,                   0,          0.00075758,             0.22727,           0.0010967,          0.00024822,             0.10868,            0.016597,                   0,            0.091873,          0.00087327,          0.00087327
                  10,             0.11038,            0.021749,                   0,          0.00090909,             0.27273,           0.0012933,           0.0002655,             0.10691,            0.016643,                   0,            0.090967,            0.000967,            0.000967
                  11,             0.10564,            0.021089,                   0,          0.00075758,             0.22727,          0.00092945,          0.00022424,             0.10518,            0.016663,                   0,             0.09006,           0.0010601,           0.0010601
                  12,             0.10588,            0.020535,                   0,           0.0012121,             0.36364,           0.0018143,          0.00030034,             0.10432,            0.016548,                   0,            0.089152,           0.0011525,           0.0011525
                  13,             0.10308,            0.021152,                   0,           0.0016667,                 0.5,           0.0018628,          0.00038192,             0.10343,            0.016489,                   0,            0.088244,           0.0012442,           0.0012442
                  14,             0.10347,            0.022438,                   0,           0.0016667,                 0.5,           0.0021011,          0.00052025,             0.10235,            0.016462,                   0,            0.087335,           0.0013353,           0.0013353
                  15,             0.10137,            0.021743,                   0,           0.0012121,             0.36364,           0.0012667,           0.0003448,             0.10166,            0.016328,                   0,            0.086426,           0.0014257,           0.0014257
                  16,            0.098984,            0.021568,                   0,          0.00090909,             0.27273,           0.0013727,          0.00037891,             0.10054,            0.016321,                   0,            0.085516,           0.0015155,           0.0015155
                  17,            0.096864,            0.021047,                   0,           0.0010606,             0.31818,           0.0018122,          0.00055737,            0.099814,            0.016265,                   0,            0.084605,           0.0016046,           0.0016046
