               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12072,            0.028834,                   0,          0.00045455,             0.13636,          0.00040034,          7.2021e-05,             0.12048,            0.022577,                   0,              0.0991,              0.0001,              0.0001
                   1,             0.11783,            0.029271,                   0,          0.00045455,             0.13636,          0.00039621,          7.9638e-05,             0.11985,            0.022156,                   0,            0.097299,          0.00029901,          0.00029901
                   2,             0.11471,            0.028592,                   0,          0.00045455,             0.13636,          0.00039697,          0.00010358,             0.11934,            0.021984,                   0,            0.095497,           0.0004967,           0.0004967
                   3,             0.11332,            0.028325,                   0,          0.00060606,             0.18182,          0.00052379,          9.4546e-05,             0.11712,            0.021624,                   0,            0.093693,          0.00069307,          0.00069307
                   4,              0.1093,             0.02804,                   0,          0.00060606,             0.18182,          0.00053025,          9.1655e-05,             0.11548,            0.021255,                   0,            0.091888,          0.00088812,          0.00088812
                   5,             0.10602,               0.027,                   0,          0.00090909,             0.27273,           0.0007494,          0.00012783,             0.11157,            0.021093,                   0,            0.090082,           0.0010819,           0.0010819
                   6,             0.10284,            0.025928,                   0,          0.00090909,             0.27273,           0.0024947,          0.00033904,             0.10855,            0.020649,                   0,            0.088274,           0.0012743,           0.0012743
                   7,             0.10285,            0.024971,                   0,          0.00075758,             0.22727,          0.00095081,          0.00018619,             0.10577,            0.020496,                   0,            0.086465,           0.0014653,           0.0014653
                   8,             0.10212,            0.023831,                   0,          0.00060606,             0.18182,          0.00084881,          0.00020826,             0.10206,            0.020651,                   0,            0.084655,           0.0016551,           0.0016551
                   9,            0.098403,            0.023468,                   0,          0.00090909,             0.27273,          0.00090478,          0.00022545,            0.099006,            0.020432,                   0,            0.082844,           0.0018436,           0.0018436
                  10,            0.093369,            0.022906,                   0,           0.0012121,             0.36364,           0.0052859,           0.0011487,            0.095606,            0.020386,                   0,            0.081031,           0.0020307,           0.0020307
                  11,            0.090495,             0.02224,                   0,           0.0010606,             0.31818,           0.0029889,          0.00098937,            0.093812,            0.020386,                   0,            0.079217,           0.0022165,           0.0022165
                  12,            0.092887,            0.021175,                   0,           0.0016667,                 0.5,            0.007164,            0.001652,            0.094391,            0.020317,                   0,            0.077401,            0.002401,            0.002401
                  13,            0.091648,            0.019939,                   0,           0.0016667,                 0.5,           0.0084713,           0.0014535,            0.094095,            0.019857,                   0,            0.075584,           0.0025842,           0.0025842
                  14,            0.089597,            0.019539,                   0,           0.0016667,                 0.5,            0.004281,            0.001059,            0.093661,            0.019239,                   0,            0.073766,            0.002766,            0.002766
                  15,            0.088437,            0.019976,                   0,           0.0016667,                 0.5,            0.017483,            0.002776,            0.093846,            0.018621,                   0,            0.071947,           0.0029465,           0.0029465
                  16,            0.079322,            0.019413,                   0,           0.0013636,             0.40909,           0.0039918,          0.00080252,            0.093595,            0.018295,                   0,            0.070126,           0.0031258,           0.0031258
                  17,            0.075563,            0.018203,                   0,           0.0012121,             0.36364,            0.015369,           0.0047106,            0.092274,            0.018257,                   0,            0.068304,           0.0033037,           0.0033037
                  18,            0.079416,            0.018603,                   0,           0.0010606,             0.31818,           0.0075573,           0.0042955,             0.08795,            0.018887,                   0,             0.06648,           0.0034802,           0.0034802
                  19,            0.078272,            0.018787,                   0,           0.0012121,             0.36364,           0.0054842,           0.0018768,            0.090306,            0.017708,                   0,            0.064655,           0.0036555,           0.0036555
                  20,            0.075585,            0.017968,                   0,           0.0013636,             0.40909,           0.0022196,          0.00069228,            0.090441,            0.017429,                   0,            0.062829,           0.0038294,           0.0038294
