               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12382,            0.028795,                   0,          0.00045455,             0.13636,          0.00036113,          5.7468e-05,             0.11935,            0.023972,                   0,              0.0991,              0.0001,              0.0001
                   1,             0.11915,            0.029503,                   0,          0.00060606,             0.18182,           0.0016589,          0.00019455,             0.11963,            0.023758,                   0,            0.097299,          0.00029901,          0.00029901
                   2,             0.11782,            0.029181,                   0,          0.00060606,             0.18182,            0.000438,          0.00012379,             0.11983,            0.024094,                   0,            0.095497,           0.0004967,           0.0004967
                   3,             0.11693,             0.02887,                   0,          0.00075758,             0.22727,           0.0010036,          0.00022318,             0.11838,            0.022799,                   0,            0.093693,          0.00069307,          0.00069307
                   4,             0.11607,            0.029186,                   0,          0.00075758,             0.22727,           0.0010417,          0.00017894,             0.11815,            0.022568,                   0,            0.091888,          0.00088812,          0.00088812
                   5,             0.11539,             0.02799,                   0,           0.0010606,             0.31818,          0.00087859,          0.00016489,             0.11997,            0.022465,                   0,            0.090082,           0.0010819,           0.0010819
                   6,             0.11443,            0.027026,                   0,          0.00060606,             0.18182,           0.0005633,           0.0001924,             0.11643,            0.022343,                   0,            0.088274,           0.0012743,           0.0012743
                   7,             0.11395,            0.025713,                   0,          0.00045455,             0.13636,            0.001823,          0.00054623,             0.11198,            0.022964,                   0,            0.086465,           0.0014653,           0.0014653
                   8,             0.10622,            0.025543,                   0,          0.00060606,             0.18182,           0.0023925,          0.00042649,             0.11181,            0.021748,                   0,            0.084655,           0.0016551,           0.0016551
                   9,             0.10322,            0.025131,                   0,          0.00030303,            0.090909,          0.00051124,          0.00010322,             0.11004,            0.021088,                   0,            0.082844,           0.0018436,           0.0018436
                  10,             0.10212,            0.023694,                   0,          0.00075758,             0.22727,           0.0011183,          0.00018296,             0.10873,            0.020531,                   0,            0.081031,           0.0020307,           0.0020307
                  11,            0.096487,            0.023061,                   0,          0.00060606,             0.18182,           0.0011754,          0.00023283,             0.10525,            0.021004,                   0,            0.079217,           0.0022165,           0.0022165
                  12,            0.093616,            0.022448,                   0,          0.00075758,             0.22727,          0.00089166,          0.00020107,              0.1052,            0.019867,                   0,            0.077401,            0.002401,            0.002401
                  13,            0.098604,            0.020246,                   0,          0.00060606,             0.18182,           0.0011405,          0.00018928,              0.1072,            0.018879,                   0,            0.075584,           0.0025842,           0.0025842
                  14,            0.092378,            0.020411,                   0,          0.00090909,             0.27273,             0.00245,          0.00057299,             0.10394,            0.019196,                   0,            0.073766,            0.002766,            0.002766
                  15,            0.088325,            0.020448,                   0,          0.00075758,             0.22727,           0.0006001,          0.00017485,             0.10219,            0.019142,                   0,            0.071947,           0.0029465,           0.0029465
