               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12852,            0.026147,            0.030228,          0.00038142,             0.10207,          0.00025883,          5.0144e-05,             0.12522,            0.020052,            0.030994,              0.0982,              0.0002,              0.0002
                   1,             0.12783,            0.026016,            0.030553,          0.00032421,            0.075758,          0.00021923,          3.7763e-05,             0.12574,            0.019838,            0.031378,            0.095498,          0.00049835,          0.00049835
                   2,              0.1248,            0.026015,            0.030097,          0.00032767,            0.086922,          0.00020648,          2.4419e-05,             0.12574,            0.019176,            0.031525,            0.092795,          0.00079472,          0.00079472
                   3,              0.1219,            0.025104,            0.029967,          0.00043296,             0.11722,          0.00029203,          5.5037e-05,              0.1245,            0.018669,            0.030811,            0.090089,           0.0010891,           0.0010891
                   4,             0.11476,            0.024563,            0.028973,          0.00044729,             0.12839,          0.00029125,          6.2347e-05,             0.12214,            0.017311,            0.030402,            0.087382,           0.0013815,           0.0013815
                   5,             0.11071,             0.02332,            0.028905,          0.00050996,             0.14354,          0.00032425,          8.2275e-05,             0.11826,            0.016376,            0.030121,            0.084672,            0.001672,            0.001672
                   6,             0.10477,            0.021722,            0.028206,          0.00030743,            0.075758,          0.00032171,          0.00010297,             0.10996,            0.016245,            0.029285,             0.08196,           0.0019604,           0.0019604
                   7,            0.098309,            0.021168,            0.027183,           0.0005509,             0.16268,          0.00051341,          0.00018339,             0.10127,            0.017111,            0.029285,            0.079247,           0.0022469,           0.0022469
                   8,            0.094963,            0.020113,            0.026771,          0.00076968,             0.23046,          0.00099786,          0.00017174,            0.098746,            0.015816,            0.029523,            0.076531,           0.0025314,           0.0025314
                   9,            0.092065,             0.01889,            0.025837,           0.0010638,             0.31738,           0.0016805,          0.00041876,            0.097663,            0.014725,            0.029187,            0.073814,           0.0028139,           0.0028139
                  10,            0.089975,             0.01775,            0.024392,           0.0010933,              0.3134,           0.0014534,          0.00029117,            0.098012,            0.013794,            0.028937,            0.071094,           0.0030944,           0.0030944
                  11,            0.087168,            0.016984,            0.024764,          0.00091915,             0.27193,           0.0009654,          0.00023665,            0.094338,            0.013371,            0.028046,            0.068373,           0.0033729,           0.0033729
                  12,            0.083949,            0.016485,            0.024504,           0.0014372,             0.42663,           0.0029263,          0.00067008,            0.091305,            0.013218,            0.027063,             0.06565,           0.0036495,           0.0036495
                  13,            0.079076,            0.016379,            0.023253,           0.0016441,             0.48325,           0.0033843,          0.00088233,            0.089194,            0.013287,            0.026575,            0.062924,           0.0039241,           0.0039241
                  14,            0.078589,            0.015692,            0.023273,            0.001953,             0.57018,           0.0039855,           0.0012032,            0.088167,            0.013206,            0.026038,            0.060197,           0.0041967,           0.0041967
                  15,            0.075311,            0.015704,            0.023365,            0.001531,             0.45295,           0.0059242,           0.0010263,            0.091192,            0.012417,            0.025665,            0.057467,           0.0044673,           0.0044673
                  16,            0.074083,            0.015668,             0.02381,           0.0017748,             0.52073,           0.0065963,           0.0017311,            0.088372,            0.012566,            0.025537,            0.054736,            0.004736,            0.004736
                  17,            0.071523,            0.015733,            0.022761,           0.0018771,             0.54306,           0.0054504,           0.0012567,            0.085295,             0.01309,            0.025568,            0.052003,           0.0050027,           0.0050027
                  18,            0.070531,            0.014841,            0.022826,           0.0022432,             0.63397,            0.014638,           0.0027872,            0.078732,            0.013954,            0.025629,            0.049267,           0.0052674,           0.0052674
                  19,             0.06995,            0.014535,             0.02255,           0.0025509,              0.6866,           0.0074779,           0.0022617,            0.080392,            0.013359,            0.027228,             0.04653,           0.0055301,           0.0055301
                  20,            0.067856,            0.014834,            0.023093,            0.003063,             0.78469,            0.022929,           0.0065411,            0.080926,            0.013186,            0.027667,            0.043791,           0.0057908,           0.0057908
                  21,            0.066098,            0.014841,            0.021153,           0.0028738,             0.79984,            0.026067,            0.006374,            0.077881,            0.013298,            0.027399,             0.04105,           0.0060495,           0.0060495
                  22,            0.063786,            0.014775,            0.021095,           0.0028382,             0.78469,             0.03018,           0.0076244,            0.075008,            0.013443,            0.027246,            0.038306,           0.0063063,           0.0063063
                  23,            0.064477,            0.013977,            0.019495,           0.0031034,             0.83732,            0.041467,            0.013737,            0.080113,            0.012581,            0.028113,            0.035561,           0.0065611,           0.0065611
                  24,            0.063906,            0.013956,            0.019629,           0.0032778,             0.83014,            0.046154,            0.024562,            0.077257,            0.013412,            0.028815,            0.032814,           0.0068139,           0.0068139
                  25,            0.059629,            0.014369,            0.019732,           0.0028268,             0.70973,            0.021142,           0.0044851,            0.075855,            0.013626,            0.032208,            0.030065,           0.0070648,           0.0070648
