               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12221,            0.028908,                   0,          0.00057692,             0.17308,          0.00039336,          7.5899e-05,             0.12018,            0.023342,                   0,              0.0982,              0.0002,              0.0002
                   1,             0.12241,            0.028547,                   0,          0.00076923,             0.23077,            0.000561,          0.00010128,             0.11981,            0.023441,                   0,            0.095498,          0.00049835,          0.00049835
                   2,             0.12039,            0.028311,                   0,          0.00097062,             0.15385,          0.00086565,          0.00018579,             0.11825,            0.023174,                   0,            0.092795,          0.00079472,          0.00079472
                   3,             0.11822,             0.02724,                   0,          0.00086659,             0.15385,           0.0009061,          0.00024007,             0.11485,            0.022362,                   0,            0.090089,           0.0010891,           0.0010891
                   4,             0.11035,             0.02647,                   0,           0.0012071,            0.096154,           0.0012429,          0.00032665,             0.11025,             0.02108,                   0,            0.087382,           0.0013815,           0.0013815
                   5,             0.10828,            0.024843,                   0,           0.0061895,            0.076923,           0.0026448,          0.00052332,             0.10711,            0.020063,                   0,            0.084672,            0.001672,            0.001672
                   6,             0.10545,            0.022771,                   0,          0.00089744,             0.26923,           0.0029311,          0.00071473,             0.10291,             0.01895,                   0,             0.08196,           0.0019604,           0.0019604
                   7,             0.10064,            0.021621,                   0,          0.00076923,             0.23077,          0.00062227,           0.0001495,            0.099507,            0.017725,                   0,            0.079247,           0.0022469,           0.0022469
                   8,            0.097566,            0.020298,                   0,           0.0011538,             0.34615,          0.00097597,          0.00018115,            0.098154,            0.016655,                   0,            0.076531,           0.0025314,           0.0025314
                   9,            0.095254,            0.018831,                   0,           0.0011538,             0.34615,           0.0010375,          0.00028941,            0.097875,            0.015394,                   0,            0.073814,           0.0028139,           0.0028139
                  10,            0.091248,            0.018035,                   0,           0.0012821,             0.38462,           0.0034743,          0.00066291,            0.095586,            0.014423,                   0,            0.071094,           0.0030944,           0.0030944
                  11,            0.090768,            0.016864,                   0,           0.0016667,                 0.5,           0.0033635,          0.00057175,            0.092931,             0.01403,                   0,            0.068373,           0.0033729,           0.0033729
                  12,            0.085803,            0.016609,                   0,            0.001859,             0.55769,           0.0042897,          0.00091835,            0.090478,            0.014008,                   0,             0.06565,           0.0036495,           0.0036495
                  13,             0.08263,            0.016143,                   0,           0.0016026,             0.48077,           0.0026217,          0.00056418,            0.089471,            0.014233,                   0,            0.062924,           0.0039241,           0.0039241
                  14,            0.082072,            0.015475,                   0,           0.0020513,             0.61538,           0.0046563,            0.001244,            0.086861,            0.014679,                   0,            0.060197,           0.0041967,           0.0041967
                  15,            0.076959,            0.015586,                   0,           0.0019872,             0.59615,            0.021576,           0.0087651,            0.085574,            0.014305,                   0,            0.057467,           0.0044673,           0.0044673
                  16,            0.074031,            0.015681,                   0,           0.0021795,             0.65385,            0.013519,           0.0032631,            0.085371,            0.013878,                   0,            0.054736,            0.004736,            0.004736
