               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12782,            0.026244,            0.030296,          0.00032623,             0.09375,          0.00023279,          2.9133e-05,             0.12631,            0.019749,            0.031091,              0.0991,              0.0001,              0.0001
                   1,             0.12858,            0.026153,            0.030493,          0.00033296,             0.09375,          0.00024829,          3.2347e-05,             0.12695,            0.019733,             0.03136,            0.097299,          0.00029901,          0.00029901
                   2,             0.12739,            0.025949,            0.030337,          0.00045137,               0.125,            0.000315,            3.15e-05,             0.12685,            0.019426,            0.031506,            0.095497,           0.0004967,           0.0004967
                   3,             0.12738,            0.025487,            0.029373,          0.00022878,              0.0625,          0.00018906,          1.8906e-05,             0.12613,            0.018904,            0.031549,            0.093693,          0.00069307,          0.00069307
                   4,             0.12399,             0.02536,            0.029919,          0.00033169,             0.10268,          0.00023939,          5.3661e-05,             0.12471,            0.018484,            0.031006,            0.091888,          0.00088812,          0.00088812
                   5,             0.12279,            0.024608,            0.029459,          0.00033198,            0.098214,          0.00036974,          9.9157e-05,             0.12128,            0.018356,            0.029614,            0.090082,           0.0010819,           0.0010819
                   6,             0.11834,            0.023928,            0.028932,          0.00053894,             0.16071,          0.00045715,          7.3463e-05,             0.11958,            0.017855,            0.028937,            0.088274,           0.0012743,           0.0012743
                   7,             0.11358,            0.023471,            0.029242,          0.00032182,             0.09375,          0.00086196,          0.00011639,             0.11744,            0.017479,            0.028778,            0.086465,           0.0014653,           0.0014653
                   8,             0.10975,            0.022491,            0.028695,          0.00032478,            0.098214,           0.0009814,          0.00029409,             0.11421,            0.016844,            0.028552,            0.084655,           0.0016551,           0.0016551
                   9,             0.10629,            0.022269,            0.028137,          0.00038124,               0.125,          0.00026567,          4.5934e-05,             0.11115,            0.016634,            0.028656,            0.082844,           0.0018436,           0.0018436
                  10,             0.10379,            0.021185,            0.027225,          0.00051137,             0.16071,          0.00037435,          0.00011438,             0.10884,            0.016546,            0.028497,            0.081031,           0.0020307,           0.0020307
                  11,             0.10144,            0.020607,             0.02699,          0.00055365,             0.16518,           0.0015511,          0.00052873,             0.10711,            0.016123,            0.028949,            0.079217,           0.0022165,           0.0022165
