               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12187,            0.028997,                   0,          0.00055556,             0.16667,          0.00035795,          8.3453e-05,             0.12022,            0.023119,                   0,              0.0991,              0.0001,              0.0001
                   1,              0.1223,            0.028888,                   0,          0.00055556,             0.16667,          0.00032756,          8.3779e-05,             0.12056,            0.023247,                   0,            0.097299,          0.00029901,          0.00029901
                   2,             0.12251,             0.02846,                   0,          0.00088889,             0.26667,          0.00068838,          0.00012279,             0.12116,            0.022747,                   0,            0.095497,           0.0004967,           0.0004967
                   3,             0.12005,            0.028137,                   0,          0.00066667,                 0.2,          0.00051305,          0.00011284,              0.1205,            0.022167,                   0,            0.093693,          0.00069307,          0.00069307
                   4,             0.11824,            0.027448,                   0,          0.00055556,             0.16667,          0.00038513,          9.0309e-05,             0.11915,            0.021563,                   0,            0.091888,          0.00088812,          0.00088812
                   5,               0.116,            0.026733,                   0,          0.00066667,                 0.2,          0.00041865,          0.00013137,             0.11819,            0.020641,                   0,            0.090082,           0.0010819,           0.0010819
                   6,             0.11096,            0.026086,                   0,          0.00022222,            0.066667,          0.00014518,          7.1812e-05,             0.11614,            0.019852,                   0,            0.088274,           0.0012743,           0.0012743
                   7,             0.10964,            0.025011,                   0,          0.00077778,             0.23333,          0.00060286,          0.00014843,             0.11269,            0.019205,                   0,            0.086465,           0.0014653,           0.0014653
                   8,             0.10837,            0.023334,                   0,          0.00077778,             0.23333,           0.0004799,          0.00010048,             0.10946,             0.01852,                   0,            0.084655,           0.0016551,           0.0016551
                   9,             0.10204,            0.023346,                   0,          0.00033333,                 0.1,          0.00019068,          3.0729e-05,             0.10496,             0.01857,                   0,            0.082844,           0.0018436,           0.0018436
                  10,             0.10313,            0.021712,                   0,          0.00033333,                 0.1,          0.00020973,          3.9301e-05,             0.10641,            0.017004,                   0,            0.081031,           0.0020307,           0.0020307
                  11,             0.10077,             0.02085,                   0,          0.00066667,                 0.2,          0.00041229,          9.3842e-05,             0.10562,            0.016388,                   0,            0.079217,           0.0022165,           0.0022165
                  12,            0.098291,            0.020156,                   0,          0.00088889,             0.26667,          0.00058597,          0.00013692,             0.10463,            0.015781,                   0,            0.077401,            0.002401,            0.002401
                  13,            0.097055,            0.019328,                   0,          0.00066667,                 0.2,           0.0004832,          8.7197e-05,             0.10483,            0.015158,                   0,            0.075584,           0.0025842,           0.0025842
                  14,             0.09382,            0.018725,                   0,          0.00066667,                 0.2,          0.00047983,          7.9178e-05,             0.10434,            0.014202,                   0,            0.073766,            0.002766,            0.002766
                  15,            0.093016,            0.018261,                   0,          0.00066667,                 0.2,           0.0010249,          0.00027136,             0.10355,            0.013758,                   0,            0.071947,           0.0029465,           0.0029465
                  16,            0.089476,            0.018114,                   0,           0.0012222,             0.36667,           0.0010791,          0.00033661,               0.103,            0.013147,                   0,            0.070126,           0.0031258,           0.0031258
                  17,            0.086409,            0.017272,                   0,           0.0015556,             0.46667,           0.0013172,          0.00029572,            0.099856,            0.013147,                   0,            0.068304,           0.0033037,           0.0033037
                  18,            0.083209,            0.017724,                   0,           0.0011111,             0.33333,           0.0010359,          0.00026829,            0.099421,            0.012796,                   0,             0.06648,           0.0034802,           0.0034802
                  19,            0.081784,            0.017166,                   0,          0.00088889,             0.26667,           0.0010921,          0.00039804,             0.09954,            0.012541,                   0,            0.064655,           0.0036555,           0.0036555
                  20,            0.078726,            0.016884,                   0,           0.0013333,                 0.4,           0.0025993,          0.00056891,            0.097148,             0.01263,                   0,            0.062829,           0.0038294,           0.0038294
                  21,            0.078957,            0.016596,                   0,           0.0017778,             0.53333,           0.0047982,           0.0015331,            0.093719,            0.012848,                   0,            0.061002,            0.004002,            0.004002
                  22,            0.074936,            0.016601,                   0,           0.0022222,             0.66667,            0.014028,           0.0029944,            0.095193,            0.012497,                   0,            0.059173,           0.0041733,           0.0041733
                  23,            0.074598,            0.016377,                   0,           0.0023333,                 0.7,             0.02133,           0.0088174,            0.092483,            0.012682,                   0,            0.057343,           0.0043433,           0.0043433
                  24,            0.068734,            0.016511,                   0,           0.0022222,             0.66667,            0.021045,           0.0067112,            0.093527,            0.012234,                   0,            0.055512,           0.0045119,           0.0045119
